100090	1150	0	Accounting Associate I
100095	1170	0	Accounting Associate II
100100	2210	0	Accountant
100105		1	ACCOUNTANT I
100110		1	Accountant II
100113		1	Accountant II (29 hrs)
100115		1	Accountant III
100120		0	Accounts Supervisor
100122	2240	0	Public Works Accounting Section Supervisor
100124	2220	0	DHDS Accounting Section Supervisor
100125	2280	0	Assistant Accounting Manager
100130	2310	0	Accounting Manager
100133	2210	0	Financial Analyst
100135		1	Financial Analyst I
100155	2240	0	Senior Financial Analyst
100160	2260	0	Chief Financial Analyst
100165	2310	0	Environmental Services Financial Manager
100205		1	Auditor I
100210		1	AUDITOR II
100215		1	AUDITOR III
100217	2210	0	Auditor
100219	2240	0	Senior Auditor
100223	2260	0	Chief Auditor
100225	2280	0	Assistant Auditing Manager
100230	2310	0	Auditing Manager
100240		1	BINGO AUDITOR I
100245		1	BINGO AUDITOR II
100260	2180	0	Crime Statistician
100300		1	BUDGET ANALYST TRAINEE
100305		1	BUDGET ANALYST I
100309	2210	0	Budget Analyst
100310		1	BUDGET ANALYST II
100312	2240	0	Senior Budget Analyst
100314	2260	0	Chief Budget Analyst
100320	2280	0	Assistant Budgeting Manager
100325	2310	0	Budgeting Manager
100405	2170	0	Revenue Supervisor
100406		1	SENIOR REVENUE INSPECTOR
100408	2210	0	Revenue Analyst
100410		1	REVENUE AUDITOR
100411	2240	0	Senior Revenue Analyst
100413	2260	0	Chief Revenue Analyst
100415	2280	0	Assistant Revenue Manager
100420	2310	0	Revenue Manager
100505		1	INVENTORY COORDINATOR
100510	1190	0	Fixed Assets Manager
100548	2220	0	Assistant Police Business Manager
100550	2250	0	Police Business Manager
100600	2240	0	Assistant Airport Business Manager
100605	2280	0	Airport Business Manager
100620	2240	0	Central Garage Business Officer
100630		1	Fiscal Unit Manager
100635	2240	0	Assistant Library Business Manager
100640	2280	0	Library Business Manager
100645	2260	0	Library Facilities & Security Manager
100655		1	PUBLIC WORKS BUSINESS MANAGER
100665		0	Assistant Public Works Director of Capital Improvement
100670	2310	0	Assistant Public Works Director of Management/Finance
100695	2210	0	Retirement Analyst
100700	2240	0	Senior Retirement Analyst
100710		1	RETIREMENT BENEFITS SPECIALIST
100715		0	Retirement Accounting Manager
100718	2280	0	Retirement Benefits Manager
100722	2280	0	Retirement Financial Manager
100740	2220	0	Assistant Financial Projects Coordinator
100745	2270	0	Financial Projects Coordinator
100750	2330	0	Assistant Finance Director
100753	2280	0	Assistant Service Fee Manager
100755		1	CENTROPLEX BUSINESS MANAGER
100760	2270	0	Debt Management Officer
100765	2310	0	Service Fee Manager
100775	2260	0	EMS Business Manager
100780	2230	0	Assistant EMS Business Manager
100875	2220	0	EMS Billing Manager
101100		0	Drafter
101105		1	DRAFTSMAN
101108	2220	0	Intern Architect
101110		1	LANDSCAPE/ARCHITECTURAL DESIGN DRAF
101160	2230	0	Landscape Architect
101165	2310	0	Parishwide Landscape Manager
101170	2310	0	Special Projects Architect
101175	2260	0	Architect
101180	2290	0	Senior Architect
101185	2320	0	Chief Architect
101205	1080	0	Engineering Aide Trainee
101210	1120	0	Engineering Aide I
101215	1140	0	Engineering Aide II
101220	1170	0	Engineering Aide III
101225	1190	0	Engineering Technician
101230	2220	0	Floodplain Manager
101305	2290	0	Professional Land Surveyor
101403	2190	0	Engineer Intern Applicant
101405		1	ENGINEER-IN-TRAINING APPLICANT
101408	2220	0	Engineer Intern
101410		1	ENGINEER-IN-TRAINING
101412	2240	0	Senior Engineer Intern
101415		1	SENIOR ENGINEER IN TRAINING
101430	2260	0	Professional Engineer I
101435	2270	0	Professional Engineer II
101440	2290	0	Professional Engineer III
101445	2300	0	Professional Engineer IV
101470		1	TRAFFIC ENGINEER
101480		1	ASSISTANT CHIEF ENGINEER
101485		1	CHIEF ENGINEER
101490	2310	0	Special Projects Engineer
101495		1	ASSIST PUBLIC WORKS DIRECTOR
101498		1	ASSISTANT TO THE PUBLIC WORKS DIR
101528	2330	0	Chief Design & Construction Engineer
101530		0	Chief Construction Engineer
101533	2330	0	Chief of Engineering & Technology/Wastewater
101535		0	Chief Design Engineer
101538	2330	0	Chief of Operations & Maintenance/Wastewater
101540	2330	0	Chief Traffic Engineer
101543		0	Chief Operations Engineer
101550		0	Deputy Public Works Director of Engineering & Planning
101555		0	Special Assistant to the Public Works Director
101570	2290	0	Assistant Urban Development Director
1016		1	BINGO AUDITOR I
101600	2270	0	Planning Project Coordinator
101605	2150	0	Planner I
101610	2190	0	Planner II
101615	2220	0	Planner III
